a,a:一|d:一道
a-bomb,n:原子弹
abominable,"a:可恶,可恨,恶劣,秽"
abominable snowman,n:雪人
abominablebly,"d:可鄙,可恶,讨厌,丑"
abominate,"v:憎恨,嫌恶,厌恶,痛恨,憎恶"
abomination,"n:憎恶,憎恨,可恶"
abonement,n:用户
aboriginal,n:土著居民
aboriginally,"d:本来,原来"
aboriginals,n:土著
aborigine,n:土著居民
aborigines,"n:土产,土人,土著"
abort,"v:打胎,抑止,堕胎,失败,截止,退化"
aborticide,n:堕胎
abortion,"n:堕胎,人工流产,失败,小月,打胎,畸形|v:小产,流产"
abortive,a:未遂
abouchement,v:注入
abound,"v:盛产,充满,富于,富有"
abound in,"v:富于,盛产"
abound with,v:充满
about,"d:约,左右,差不多,可|p:前后,手头|a:流行,左右,周遭|n:光景,内外"
about equal,"p:不相上下,相去无几"
about midnight,n:三更半夜
about the same,"p:差不多,不相上下"
about to,"n:行将,欲,待"
about to materialize,v:有眉目
above,"p:超过,上面,以上,上,之上|n:上,上头|d:上级,上流,上述,上文,以上|a:前述|f:开外"
above all,p:最
above and beyond,"p:不止,超过"
above ground,p:在世
above reproach,p:无可非议
above sea-level,p:海拔
above the average,p:高
above the quota,p:超额
above the rest,"p:特别,格外"
aboveboard,"d:公开,光明磊落|n:正大|a:明"
abovedeck,d:光明正大
above-mentioned,a:上述
abra,n:岩洞
abracadabra,"n:咒语,胡言乱语,诅咒"
abradant,n:腐蚀剂
abrade,"v:擦伤,磨损,磨耗,磨蚀,研磨,磨擦"
abrade wear,v:磨损
abraham's bosom,n:天堂
abrase,v:擦掉
abrasion,n:磨蚀|v:擦伤
abrasion resistant,a:耐磨
abrasion wheel,n:砂轮
abrasive,n:金刚砂
abrasive cloth,n:砂布
abrasive fabric,n:砂布
abrasive finishing,n:磨光
abrasive wear,n:磨蚀
abrasive wheel,n:砂轮
abrasiveness,n:磨耗
abreact,v:发泄
abreaction,n:发泄
abreast,"d:并排,并列"
abri,"n:防空洞,岩洞,洞穴"
abridge,"v:节本,摘要,削,节略,夺,缩写,省略|n:节"
abridged drawing,n:略图
abridged edition,"n:简编,简本"
abridgement,"n:节本,削减,摘要,概略,缩减"
abroach,a:传播
abroad,"d:海外,到处,流行|a:外|n:国外"
abrogate,"v:废,废止,结束"
abrogation,n:废除|v:终止
abrosia,v:禁食
abrupt,"a:突然,突兀,陡峭,陡,冒失|v:突兀"
abrupt change,n:突变
abrupt slope,n:陡坡
abruption,"n:断裂,分离,分裂"
abruptly,"d:突然,猛,忽地,没头没脑,乍,勃然,骤"
abscess,n:脓肿
abscise,n:脱落|v:割断
abscissa,n:横轴
abscissa axis,n:横轴
abscission,n:脱落|v:脱落
abscission of fruits,n:落果
abscond,"v:隐匿,卷逃,逃匿,潜伏,失踪,私逃,逃逸"
abscond to,v:逃往
abscond with everything,v:席卷一空
abscond with valuables,v:卷逃
abscondence,"n:逃走,失踪,逃亡"
absconding,v:潜伏
absence,"n:缺席,无,缺乏,缺少,缺,缺勤,心不在焉"
absence from duty,n:缺勤
absent,v:缺席|a:无
absent from,a:缺席
absent oneself,v:抽身
absent without leave,a:开小差
absenteeism,"n:旷工,缺勤,旷课"
absently,d:茫然
absentminded,d:恍忽|a:昏头昏脑
absent-minded,"a:心不在焉,神不守舍"
absolute,a:绝对
absolute altitude,n:绝对高度
absolute being,n:神
absolute control on,n:大权独揽
absolute majority,n:绝大多数
absolute monarchy,n:专制
absolute sincerity,"n:赤忱,赤诚,丹忱"
absolute value,n:绝对值
absolute zero,n:绝对零度
absolutely,"d:绝对,绝,断然,百分之百|a:完全,百分之百|i:当然|v:断"
absolutely bored,v:万般无奈
absolutely deny,v:矢口否认
absolutely empty,a:空空如也
absolutely fair,a:天公地道
absolutely irreconcilable,a:不共戴天
absolutely lifelike,a:维妙维肖
absolutely necessary,a:必不可少
absolutely not,"d:绝不,决不"
absolutely preposterous,"a:大谬不然,荒谬绝伦"
absolutely safe,a:万无一失
absolutely still,a:纹丝不动
absolutely vicious,a:万恶
absolutely without merit,p:一无是处
absolutely wrong,a:大错特错
absoluteness,"n:绝对,专制,完全"
absolution,"n:宽恕,解除,免除"
absolutization,n:绝对性
absolve,"v:免除,宽恕,超生,解脱,出脱,解除"
absorb,"v:并吞,承担,理解,忍受,吞没,占用,裹,合并,吸吮,吃,吮吸,同化,吞,吞食"
absorb heat,v:吸热
absorb water,v:吃水
absorbancy,n:吸收率
absorbed,"a:专心致志,专心一志"
absorbedly,d:一心
absorbent,n:淋巴管
absorbent cotton,n:药棉
absorber,n:减震器
absorbing rod,n:控制棒
absorption,"n:热中,合并,专心,专心一意,全神贯注,饮食"
absorption brake,n:制动器
absorption of heat,n:吸热
absorption of vibration,n:减震
absorption spectrum,n:吸收光谱
absquatulate,"v:逃走,逃跑"
abstain,"v:弃权,避免,忌食,戒除,断,放弃,避开,戒"
abstain from,"v:忌食,避开,禁忌,断,戒,放弃,戒除"
abstain from speaking,v:默不作声
abstainence,"n:节制,禁欲"
abstemiously,d:适度
abstemiousness,n:节制
abstention,"n:回避,克制"
absterge,v:洗净
abstergent,"n:泻药,洗涤剂"
abstersion,"n:洗净,净化,洗涤"
abstinence,"n:禁欲,节欲|v:节制"
abstinency,n:节制
abstract,"v:提炼|n:撮要|a:抽象,理论"
abstract labor,n:抽象劳动
abstract thinking,n:抽象思维
abstracted,a:茫然
abstractedly,d:茫然
abstractedness,"n:出神,发呆"
abstraction,"n:抽象,出神,发呆,提取"
abstractness,n:抽象性
abstrict,v:脱落
abstriction,"n:分离,脱落"
abstruse,"a:深奥,深邃,玄,微,奥,寥"
abstruse writing,n:天书
absurd,"a:荒唐,荒谬,可笑,荒诞,无稽,怪诞|v:岂有此理"
absurd argument,n:奇谈怪论
absurd statement,n:不经之谈
absurd theory,n:谬论
absurdities,n:奇谈怪论
absurdity,"n:谬论,荒谬,奇谈怪论,无稽"
absurdness,n:讹谬
abundance,"n:大量,充足,充裕,富裕,盈余|a:充足"
abundant,"a:丰富,充分,充裕,充沛,充足,裕,博,赡,富饶,沛,盎然,丰,阜,富足,殷,富|v:横溢,饶,腆,盛"
abundant harvest,n:丰收
abundant in,a:富于
abundantly,d:多
abuse,"v:虐待,欺骗|n:陋习"
abuse each other,v:对骂
abuse wildly,v:漫骂
abuses,n:流弊
abusive words,n:恶语
abusively,"d:妄,滥"
abusiveness,"n:虐待,滥用"
abut,"v:毗连,接近,对接,毗邻,贴近"
abutment,"n:接合,支座,接界,桥基,支柱,邻接"
abutment piece,n:桥台
abuttal,"n:紧接,邻接,接界"
abuttals,n:地界
abutting joint,n:对接
abuzz,"a:热闹,活跃"
aby,"v:偿,赎"
abye,"v:赎,偿"
abysmal,a:深不可测|v:深不可测
abyss,"n:深渊,地狱|a:深渊"
abyss of suffering,n:火坑
abyssinia,n:阿比西尼亚
abyssinian,a:阿比西尼亚
ac,n:交流电
ac adaptor,n:整流器
ac current,n:交流电
acacia,n:刺槐
academe,"n:学术界,研究院"
academia,n:学术界
academic,"n:学人,大学生|a:学术"
academic association,n:学会
academic attainments,n:学力
academic chair,n:讲座
academic journal,n:学报
academic title,"n:学衔,职称"
academic year,n:学年
academical,a:学院
academician,n:院士
academy,"n:学院,学会,研究院"
acaleph,n:水母
acalephe,n:水母
acantha,n:脊椎
acanthaceouse indigo,n:箴
acatastasia,a:反常
accede,"v:加入,同意,继承,答应,参加,允诺,依从"
accede to,"v:加入,同意"
accelerant,"n:触媒,催化剂"
accelerate,"v:加速,加快,促进,催促"
accelerate the ripening,v:催熟
accelerate the speed,v:快马加鞭
accelerated speed,n:加速度
accelerated velocity,n:加速度
accelerating,v:加速
accelerating germination,n:催芽
accelerating machine,n:加速器
accelerating unit,n:加速器
acceleration,"n:早熟,变速|v:加速"
acceleration of maturation,n:催熟
accelerative,a:加速
accelerator,"n:加速器,油门"
accelerometer,n:速度计
accent,"n:腔调,音调|v:强调,重读"
accentuate,"v:强调,重读"
accentuation,"n:加重,强调,抑扬"
accept,"v:承认,承担,相信,当,听,采纳,信,答应,受理,领受,留,纳,收纳,容纳,接办,理解,顺应,收容"
accept a challenge,v:应战
accept as unavoidable,v:认
accept bribes,"v:受贿,贪赃"
accept defeat,v:屈服
accept for carriage,v:承运
accept the call,v:应召
accept the challenge,v:应战
acceptability,"n:合意,适意,接受"
acceptable in society,a:无伤大雅
acceptance,"n:承兑,承诺|v:接受"
acceptance of persons,n:偏爱
acceptation,"n:意义,承认"
accepted,a:公认
accepted theory,n:成说
acceptor,n:接收器
access,"n:存取,访问,门,入口,通路|v:接近"
access board,n:便桥
access door,n:便门
access right,v:使用权
access trunk,n:舱门
accessary,"n:帮凶,同谋|v:同谋"
accessibility,n:可亲
accession,"n:继承,同意,增加,接近,参加"
accessories,n:附属品
accessory,n:从犯|a:从
accessory criminal,n:从犯
accessory nerve,n:副神经
accessory offender,n:从犯
accessory punishment,n:从刑
accidence,"n:初步,岔曲儿"
accident,"n:意外,偶然,不幸,灾难,差池,长短,高低,岔,闪失,灾害|a:不测,意外|v:突变|c:故"
accidental,"v:无意,飞|a:附属"
accidental injury,n:误伤
accidentally,"d:偶然,意外,附带|a:偶然"
accidentally injure,v:误伤
acclaim,"v:喝彩,夸赞,有口皆碑,称誉,叹,称赞|n:喝采"
acclamation,"n:称赞,叫好,欢呼"
acclimate,v:适应
acclimation,n:驯化|v:驯化
acclimatization,n:驯化
acclivity,n:斜坡
accmmplishment,n:发迹
accolade,"n:表扬,迎接,嘉奖,接吻"
accommdate,v:供应
accommodate,"v:贷,住,迁就,通融,收容,招待,装载,调解,排解,顺应,迎合,供给,便利,留宿"
accommodate oneself to,"v:迁就,牵就,就"
accommodating,a:圆通
accommodation,"n:和解,设备,接待,调解,适应,调节,迁就,便利,通融,随波逐流,供给,船位,将就,顺应,排解,贷款,调停|v:调节"
accommodation bill,n:空头支票
accommodation for guests,n:馆
accommodation kite,n:空头支票
accommodation ladder,n:舷梯
accommodation train,n:慢车
accomodate,v:留宿
accomodated student,"n:住读生,住校生"
accompanied by,a:偕同
accompaniment,"n:随着,附属物"
accompanist,n:琴师
accompany,"v:送,随行,附有,作伴,做伴,伴唱,伴同,衬"
accompany a guest,v:陪客
accompany each other,v:交加
accompany in singing,v:唱和
accompany with dancing,v:伴舞
accompanying sound,n:伴音
accomplice,n:共犯
accomplish,"v:达到,就,成,作为,实行,贯彻,做成,办到"
accomplish something,v:成事
accomplished fact,n:既成事实
accomplishment,"n:才能,技能,修养,教养,实行,履行|v:执行"
accord,"n:一致|v:符合,给予,调解|a:和谐"
accord lenient treatment,n:宽待
accord permission,n:获准
accord with,"n:契合,符"
accordance,"n:据,协调,给予,风琴,依照"
accordant,a:谐和
according,"v:照,按,据,依"
according as,"c:按照,根据"
according to,"p:按照,比照,以,根据,据,照着,遵照,依据,照,本着,如,按,基于,依照,本,依"
according to facts,p:据实
according to law,p:依法
according to legend,p:相传
according to order,p:挨次
according to priority,p:依次
according to reason,p:按理
according to seniority,p:按资排辈
accordingly,"d:于是,因此,随着,所以,据此"
accordion,n:手风琴
accost,"v:搭讪,搭话,招呼,勾引"
accouche,a:助产
accouchement,"n:分娩,生产|v:分娩"
accoucheuse,n:助产士
account,"n:账目,账户,叙述,考虑|v:叙述"
account book,"n:簿籍,帐"
account for,"n:交代,得分,打死,打落,解释,说明,占,证明"
account name,n:户名
account purchase,n:赊购
account sales,n:赊销
account settled,"n:清算,决算"
account settlement,n:结算
account valuation,n:估价
accountability,n:责任制
accountancy,n:会计
accountant,"n:帐房,账房,出纳"
accountant office,n:会计室
accountant's office,n:帐房
accounting,"n:记账,账"
accounting machine,n:计算机
accouterment,"n:饰物,装备"
accoutrement,"n:装备,衣服"
accra,n:阿克拉
accredit,"v:委任,派驻,听信,认可,授权,委派,相信"
accrete,"v:共生,生长,增大"
accretion,"n:增大,增生,生长,粘连|v:增生,生长"
accrual,"n:增加,增殖|v:获利,增殖"
accrue,"v:发生,增长"
acculturate,v:社会化
accumualte,v:累加
accumulate,"v:积蓄,存储,存,攒,汪,委,累,蕴,贮,滚存,储蓄,敛,储存"
accumulate manure,v:积肥
accumulate points,v:积分
accumulate virtue,v:积德
accumulation,"n:堆积,积聚,滚存,累加,蓄电池|v:蓄积,堆积,聚集,积聚"
accumulation of heat,n:蓄热
accumulation of snow,n:积雪
accumulative total,n:累计
accumulator,"n:存储器,缓冲器"
accumulator cell,n:蓄电池
accuracy,"n:精度,正确,音准,准头"
accurate,"a:精确,准确,准,精密,灵验,凿,不爽"
accurate count,n:精打细算
accurately,d:如实
accurateness,n:精确度
accusation,"n:罪状,责备,辞讼,告发,谴责,非难"
accuse,"v:指责,指控,控,谴责,攻击,非难,攻,诉,告,弹劾,检举,起诉"
accuse amid fears,v:泣诉
accuse definitely,v:一口咬定
accuse while weeping,v:泣诉
accuser,n:原告
ace,"n:能手,么,尖子,好手,毫厘,专家"
acedia,"n:懒惰,麻痹"
acequia,"n:水渠,水沟"
acerbate,v:激怒
acerbic,"a:涩,酸性|n:酸性"
acerbity,"n:苦涩,酸味"
acescency,v:发酸
acescent,v:发酸
acetabulum,n:吸盘
acetaldehyde,n:乙醛
acetaminophen,n:扑热息痛
acetate fiber,n:醋酸纤维
acetic,a:醋
acetic acid,n:乙酸
acetic aldehyde,n:乙醛
acetin,n:醋精
aceton acid,n:乙酸
acetone,n:丙酮
acetonum,n:丙酮
acetophenetidin,n:乙酰
acetous,a:酸
acetum,n:醋
acetyl,n:乙酰
acetylcholine,n:乙醛
acetylene,"n:乙炔,电石气"
acetylene lamp,n:矿灯
acetylene welding,n:气焊
acetylsalicylic acid,n:阿司匹林
achates,n:玛瑙
ache,"v:疼痛,疼,渴望|a:疼痛,痛|n:痛"
ache slightly,v:发酸
achelous,n:河神
achene,n:瘦果
achenium,n:瘦果
acheomycin,n:四环素
acheron,"n:黄泉,地狱,阴间"
achieve,"v:成就,获,获取,致,奏,造,收到"
achieve instant fame,v:一举成名
achieve nothing,v:一事无成
achieve one's ambition,v:得志
achieve prosperity,v:致富
achieve with honor,v:荣立
achievement,"n:达到,功绩,业绩,成,完成,武功,绩,名堂,造诣,战绩,勋,成果,功"
achievements,"n:效益,造就,成就"
achievements in war,n:汗马功劳
achievemnt,n:绩
aching,"a:痛,酸痛,酸溜溜"
achromatic colour,n:无色
achromaticity,n:无色
achromatopsia,n:色盲
acicula,"n:针,刺,鬃毛"
acicular,a:针状
aciculiailvae,n:针叶林
acid,"a:酸,酸性|n:迷幻药"
acid looks,n:苦脸
acid radical,n:酸根
acid rain,n:酸雨
acid rock,n:酸性岩
acid salt,n:酸式盐
acid treating,n:酸处理
acid value,n:酸值
acidate,v:酸化
acidation,n:酸处理
acidic property,n:酸性
acidification,n:发酸|v:酸化
acidify,v:酸化
acidifying,v:酸化
acidism,n:酸中毒
acidismus,n:酸中毒
acidity,"n:酸度,酸性,酸味"
acidize,"v:酸处理,酸化"
acidness,n:酸性
acidosis,n:酸中毒
acidproof,a:耐酸
acid-proof,a:耐酸
acid-resistant,a:耐酸
acid-resisting,a:耐酸
acid-stage,a:酸性
acid-treated,a:酸处理
acidulate,v:酸化
acidum,n:酸
ack-ack,n:高射炮
ackemma,n:上午
acker,n:涟漪
acknowledge,"v:感谢,供认,确认,认,拜,公证"
acknowledge defeat,v:服输
acknowledge one's guilt,v:认罪
acknowledge one's indebtedness,v:申谢
acknowledge sincerely,v:心服
acknowledge the applause,v:谢幕
acknowledgement,"n:谢意,感谢,收条,供认"
a-class goods,n:正品
acme,"n:极盛,尖端,成熟期,极点,极度"
acne,"n:痤疮,粉刺"
acne rosacea,"n:酒糟鼻,酒渣鼻"
acnode,"n:顶点,极点"
acolasia,v:放纵
acolyte,"n:沙弥,助手,侍者,卫星"
aconite,n:乌头
acor,a:辛辣
acorn,n:橡实
acoustic,n:音质
acoustic board,n:隔音板
acoustic energy,n:声能
acoustic frequency,n:声频
acoustic image,n:镜象
acoustic noise,n:噪声
acoustic pick-up,n:电唱头
acoustic speed,n:声速
acoustic standard,n:音准
acoustic velocity,n:声速
acoustician,n:声学家
acousticon,n:助听器
acoustics,"n:音响效果,声学,音响"
acqierement,n:才艺
acquaint,"v:认识,了解"
acquaint oneself with,v:了解
acquaint with,v:认识
acquaintance,"n:交,了解,心得,雅,知识|v:了解|c:故"
acquaintanceship,"n:认识,相识"
acquainted,v:相识
acquiesce,"v:默认,默许"
acquiesce in,"v:默认,默许"
acquiescence,"n:默许,默认"
acquire,"v:养成,得,获取,添置,招致,养,捕获"
acquire wealth,v:致富
acquired,a:后天
acquired character,n:获得性
acquirement,"n:取得,技艺,获得"
acquiring,v:瞄准
acquisition,"v:搜索,探测,获得|n:探测"
acquistion,n:获得|v:获得
acquit,"v:履行,开释,付清,还清,出脱"
acquittal,"n:履行,清偿,开释"
acquittance,"n:付清,还清,解除"
acre,"n:土地,大量,耕地,田地"
acreage,n:面积
acrid,"a:辛辣,刻毒"
acridid,n:蝗虫
acridity,"n:腐蚀性,刻毒,苦,狠毒|a:辛辣"
acrimonious,"a:尖刻,尖酸,酸溜溜"
acrimony,"n:毒辣,苦味,激烈"
acroaesthesia,v:过敏
acrobatic band,n:杂技团
acrobatic fighting,n:功夫
acrobatics,n:百戏
acrobatism,n:杂技
acrocephaly,n:尖头
acroleic,a:丙烯
acroleic acid,n:丙烯酸
acronize,n:金霉素
across,"d:交叉,越过,过,阔,穿过,对过,宽,斜对面|p:过,穿过,横,越过,经过|f:过"
across chest,p:胸围
across corner,p:对角
across corners,p:对角
across from,"p:对面,在_对面"
across the way,"p:对面,对过"
across vast oceans,p:远涉重洋
acrosthesia,v:过敏
acrylic,n:晴纶
acryloid,n:丙烯酸
act,"v:做,行事,为,扮演,表演,作,充当,演戏|n:决议"
act absurdly,v:胡作非为
act against,v:违反
act against reason,n:横行霸道
act arbitrarily,"v:独断独行,一意孤行,专横跋扈"
